Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
2,-69.1857,Tx-R-R-R-T-T-R-Rx,8,"-1.00000 1.00000 6.00000, 2.28560 2.36788 1.96885, 3.85200 3.02001 3.89070, 5.61647 2.28542 6.05555, 5.47567 2.22680 6.22830, 5.38740 2.19005 6.33660, 3.80811 1.53254 8.27426, 5.08725 1.00000 9.84364"
2,-69.4891,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.23524 1.00000 7.59027, 5.15072 1.00000 7.66064, 3.80811 1.00000 8.77856, 5.08725 1.00000 9.84364"
2,-69.5145,Tx-D-T-R-R-T-R-Rx,8,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.45752 1.00000 7.59009, 5.15072 1.00000 8.23914, 5.60468 1.00000 9.19949, 5.35587 1.00000 9.72585, 5.19372 1.00000 10.06890, 5.08725 1.00000 9.84364"
2,-69.5613,Tx-D-R-R-Rx,5,"-1.00000 1.00000 6.00000, 3.11391 1.00004 7.40549, 3.60452 1.00002 6.33660, 5.15073 0.99999 9.70531, 5.08725 1.00000 9.84364"
2,-69.5947,Tx-D-T-R-T-Rx,6,"-1.00000 1.00000 6.00000, 5.16617 1.00000 1.96069, 4.67098 1.00000 6.22830, 4.66937 1.00000 6.24222, 4.68032 1.00000 6.33660, 5.08725 1.00000 9.84364"
2,-69.6964,Tx-D-T-R-T-Rx,6,"-1.00000 1.00000 6.00000, 5.60166 1.00001 7.28516, 3.80811 1.00001 8.43792, 3.35414 1.00001 8.72970, 3.80811 1.00001 9.02148, 5.08725 1.00000 9.84364"
2,-69.8275,Tx-R-D-T-R-T-R-Rx,8,"-1.00000 1.00000 6.00000, 3.07518 0.99999 7.41959, 3.11275 0.99999 7.40651, 3.58179 0.99999 6.33660, 3.62927 0.99999 6.22830, 3.67675 0.99999 6.33660, 5.15073 0.99999 9.69881, 5.08725 1.00000 9.84364"
2,-69.9105,Tx-R-D-T-R-T-Rx,7,"-1.00000 1.00000 6.00000, 2.41091 1.00011 7.41959, 2.44356 1.00011 7.40600, 3.09087 1.00009 6.23242, 3.09314 1.00008 6.22830, 3.15288 1.00008 6.33660, 5.08725 1.00000 9.84364"
2,-69.9808,Tx-D-R-Rx,4,"-1.00000 1.00000 6.00000, 5.59647 1.00000 6.97688, 3.80811 1.00000 8.64820, 5.08725 1.00000 9.84364"
2,-70.0329,Tx-R-D-R-R-Rx,6,"-1.00000 1.00000 6.00000, 3.07345 1.00002 7.41959, 3.11391 1.00003 7.40549, 3.53355 1.00002 6.33660, 4.99883 1.00000 10.06890, 5.08725 1.00000 9.84364"
2,-70.1884,Tx-R-D-R-R-T-T-Rx,8,"-1.00000 1.00000 6.00000, 2.41145 0.34189 7.41959, 2.44323 0.33576 7.40636, 2.99240 0.09976 6.20082, 3.21011 0.19331 5.72291, 3.44034 0.29225 6.22830, 3.48967 0.31345 6.33660, 5.08725 1.00000 9.84364"
2,-70.452,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 5.60404 1.00016 7.52555, 5.51859 1.00016 7.58997, 5.15071 1.00014 7.86728, 3.80811 1.00007 8.87938, 5.08725 1.00000 9.84364"
2,-70.4821,Tx-R-D-R-T-T-Rx,7,"-1.00000 1.00000 6.00000, 3.03649 1.00016 7.41959, 5.60404 1.00026 6.51661, 5.57881 1.00025 6.33660, 5.40310 1.00016 7.59020, 5.15076 1.00003 9.39051, 5.08725 1.00000 9.84364"
2,-70.5227,Tx-D-R-Rx,4,"-1.00000 1.00000 6.00000, 5.59647 1.00000 6.74224, 3.80811 1.00000 8.55036, 5.08725 1.00000 9.84364"
2,-70.575,Tx-R-D-T-R-T-R-Rx,8,"-1.00000 1.00000 6.00000, 3.07345 1.00002 7.41959, 3.11391 1.00002 7.40549, 3.58235 1.00001 6.33660, 3.62981 1.00001 6.22830, 3.67727 1.00001 6.33660, 5.15073 0.99999 9.69876, 5.08725 1.00000 9.84364"
2,-70.5937,Tx-R-D-T-T-Rx,6,"-1.00000 1.00000 6.00000, 3.45833 0.09976 7.02984, 5.60404 0.53303 7.52548, 5.58969 0.54599 7.58983, 5.15074 0.94263 9.55884, 5.08725 1.00000 9.84364"
2,-70.6097,Tx-R-D-R-Rx,5,"-1.00000 1.00000 6.00000, 4.37749 0.09976 7.38776, 5.16351 0.23134 7.59060, 5.14343 0.43380 6.33660, 5.08725 1.00000 9.84364"
2,-70.7685,Tx-R-D-R-T-T-R-Rx,8,"-1.00000 1.00000 6.00000, 2.41091 1.00007 7.41959, 2.44356 1.00007 7.40600, 3.15501 1.00005 5.72291, 3.36864 1.00005 6.22830, 3.41441 1.00004 6.33660, 4.99205 1.00000 10.06890, 5.08725 1.00000 9.84364"
2,-71.3662,Tx-R-D-R-T-R-T-Rx,8,"-1.00000 1.00000 6.00000, 3.03852 1.00016 7.41959, 5.60376 1.00026 6.51788, 5.40801 1.00025 6.33660, 3.80808 1.00014 7.81826, 3.35414 1.00011 8.23864, 3.80811 1.00008 8.65905, 5.08725 1.00000 9.84364"
2,-71.369,Tx-R-D-T-T-R-Rx,7,"-1.00000 1.00000 6.00000, 4.17724 0.09976 7.19561, 5.60396 0.34784 7.52509, 5.51790 0.36609 7.58998, 5.15071 0.44397 7.86683, 3.80811 0.72871 8.87916, 5.08725 1.00000 9.84364"
2,-71.379,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 2.54919 1.00000 7.40478, 2.86882 1.00000 5.72291, 2.88940 1.00000 5.61461, 3.58649 1.00000 1.94646, 5.08725 1.00000 9.84364"
2,-71.4631,Tx-D-R-T-T-Rx,6,"-1.00000 1.00000 6.00000, 2.44416 1.00020 7.40549, 3.21049 1.00014 5.72291, 3.44067 1.00012 6.22830, 3.48999 1.00012 6.33660, 5.08725 1.00000 9.84364"
2,-71.5577,Tx-D-T-T-Rx,5,"-1.00000 1.00000 6.00000, 3.33441 1.00000 7.41959, 3.49162 1.00000 7.63700, 3.80804 1.00000 8.07459, 5.08725 1.00000 9.84364"
2,-71.605,Tx-D-R-Rx,4,"-1.00000 1.00000 6.00000, 5.15072 1.00018 7.60204, 5.13389 1.00013 6.33660, 5.08725 1.00000 9.84364"
2,-71.8469,Tx-R-R-T-T-R-R-Rx,8,"-1.00000 1.00000 6.00000, 0.71093 0.99999 7.40635, 2.75897 0.99998 5.72291, 3.37383 0.99998 6.22830, 3.50558 0.99997 6.33660, 5.15072 0.99997 7.68887, 3.80811 0.99999 8.79234, 5.08725 1.00000 9.84364"
2,-72.0639,Tx-R-D-T-T-Rx,6,"-1.00000 1.00000 6.00000, 5.35076 1.00040 7.59027, 5.60481 1.00036 7.52665, 5.59070 1.00035 7.58982, 5.15074 1.00004 9.55941, 5.08725 1.00000 9.84364"
2,-72.3868,Tx-D-R-T-T-Rx,6,"-1.00000 1.00000 6.00000, 5.60481 1.00000 7.52665, 5.61647 1.00000 7.57660, 5.60469 1.00000 7.62707, 5.15074 1.00000 9.57167, 5.08725 1.00000 9.84364"
3,-54.14,Tx-D-T-T-Rx,5,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.48078 1.00000 7.59004, 5.15072 1.00000 8.42251, 4.58725 1.00000 9.84364"
3,-59.8653,Tx-D-R-Rx,4,"-1.00000 1.00000 6.00000, 5.16344 1.00181 7.59025, 5.01171 1.00133 6.33660, 4.58725 1.00000 9.84364"
3,-60.7018,Tx-D-R-R-Rx,5,"-1.00000 1.00000 6.00000, 5.16344 1.00189 7.59025, 5.02416 1.00143 6.33660, 4.61089 1.00008 10.05640, 4.58725 1.00000 9.84364"
3,-60.7799,Tx-D-T-T-R-Rx,6,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.49889 1.00000 7.59001, 5.15072 1.00000 8.62276, 4.66319 1.00000 10.06890, 4.58725 1.00000 9.84364"
