Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
2,-66.701,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60404 -7.52555 1.00025, -5.59204 -7.58982 1.00024, -5.19332 -9.72586 1.00005, -5.12929 -10.0689 1.00002, -5.08725 -9.84364 1"
2,-67.1475,Tx-R-D-T-R-T-Rx,7,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.55345 -6.3366 0.999996, -3.59806 -6.2283 0.999996, -3.64267 -6.3366 0.999996, -5.08725 -9.84364 1"
2,-67.9174,Tx-R-D-R-T-R-T-Rx,8,"1 -6 1, -5.57273 -3.80151 0.96003, -5.47623 -3.76923 0.959443, -3.76737 -6.32369 0.976498, -5.15072 -8.39157 0.990304, -5.60468 -9.07017 0.994834, -5.16604 -9.72586 0.999213, -5.08725 -9.84364 1"
2,-68.1421,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.03563 -7.41959 1.00017, -5.60443 -6.51598 1.00028, -5.582 -6.3366 1.00027, -5.42529 -7.59016 1.00018, -5.1596 -9.71542 1.00004, -5.11541 -10.0689 1.00002, -5.08725 -9.84364 1"
2,-68.2673,Tx-R-D-T-R-T-Rx,7,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.55403 -6.3366 1.00002, -3.59862 -6.2283 1.00002, -3.64321 -6.3366 1.00002, -5.08725 -9.84364 1"
2,-68.5769,Tx-R-D-R-R-Rx,6,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.53295 -6.3366 0.999996, -4.99879 -10.0689 1, -5.08725 -9.84364 1"
2,-68.6075,Tx-R-D-R-Rx,5,"1 -6 1, 5.65853 -6.48058 1.00045, -5.15665 -7.59629 1.00151, -5.13831 -6.3366 1.00111, -5.08725 -9.84364 1"
2,-69.1857,Tx-R-R-R-T-T-R-Rx,8,"1 -6 1, -2.2856 -1.96885 2.36788, -3.852 -3.8907 3.02001, -5.61647 -6.05555 2.28542, -5.47567 -6.2283 2.2268, -5.3874 -6.3366 2.19005, -3.80811 -8.27426 1.53254, -5.08725 -9.84364 1"
2,-69.4891,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60166 -7.28516 1, -5.23524 -7.59027 1, -5.15072 -7.66064 1, -3.80811 -8.77856 1, -5.08725 -9.84364 1"
2,-69.5145,Tx-D-T-R-R-T-R-Rx,8,"1 -6 1, -5.60166 -7.28516 0.999998, -5.45752 -7.59009 0.999997, -5.15072 -8.23914 0.999997, -5.60468 -9.19949 0.999998, -5.35587 -9.72585 0.999999, -5.19372 -10.0689 1, -5.08725 -9.84364 1"
2,-69.5613,Tx-D-R-R-Rx,5,"1 -6 1, -3.11391 -7.40549 1.00004, -3.60452 -6.3366 1.00002, -5.15073 -9.70531 0.999995, -5.08725 -9.84364 1"
2,-69.5947,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.16617 -1.96069 0.999997, -4.67098 -6.2283 0.999999, -4.66937 -6.24222 0.999999, -4.68032 -6.3366 0.999999, -5.08725 -9.84364 1"
2,-69.6964,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.60166 -7.28516 1.00001, -3.80811 -8.43792 1.00001, -3.35414 -8.7297 1.00001, -3.80811 -9.02148 1.00001, -5.08725 -9.84364 1"
2,-69.8275,Tx-R-D-T-R-T-R-Rx,8,"1 -6 1, -3.07518 -7.41959 0.999994, -3.11275 -7.40651 0.999994, -3.58179 -6.3366 0.999993, -3.62927 -6.2283 0.999992, -3.67675 -6.3366 0.999992, -5.15073 -9.69881 0.999994, -5.08725 -9.84364 1"
2,-69.9105,Tx-R-D-T-R-T-Rx,7,"1 -6 1, -2.41091 -7.41959 1.00011, -2.44356 -7.406 1.00011, -3.09087 -6.23242 1.00009, -3.09314 -6.2283 1.00008, -3.15288 -6.3366 1.00008, -5.08725 -9.84364 1"
2,-69.9808,Tx-D-R-Rx,4,"1 -6 1, -5.59647 -6.97688 1, -3.80811 -8.6482 1, -5.08725 -9.84364 1"
2,-70.0329,Tx-R-D-R-R-Rx,6,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00003, -3.53355 -6.3366 1.00002, -4.99883 -10.0689 1, -5.08725 -9.84364 1"
2,-70.1884,Tx-R-D-R-R-T-T-Rx,8,"1 -6 1, -2.41145 -7.41959 0.341886, -2.44323 -7.40636 0.335755, -2.9924 -6.20082 0.0997569, -3.21011 -5.72291 0.193314, -3.44034 -6.2283 0.292252, -3.48967 -6.3366 0.313452, -5.08725 -9.84364 1"
2,-70.452,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60404 -7.52555 1.00016, -5.51859 -7.58997 1.00016, -5.15071 -7.86728 1.00014, -3.80811 -8.87938 1.00007, -5.08725 -9.84364 1"
2,-70.4821,Tx-R-D-R-T-T-Rx,7,"1 -6 1, -3.03649 -7.41959 1.00016, -5.60404 -6.51661 1.00026, -5.57881 -6.3366 1.00025, -5.4031 -7.5902 1.00016, -5.15076 -9.39051 1.00003, -5.08725 -9.84364 1"
2,-70.5227,Tx-D-R-Rx,4,"1 -6 1, -5.59647 -6.74224 1, -3.80811 -8.55036 1, -5.08725 -9.84364 1"
2,-70.575,Tx-R-D-T-R-T-R-Rx,8,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.58235 -6.3366 1.00001, -3.62981 -6.2283 1.00001, -3.67727 -6.3366 1.00001, -5.15073 -9.69876 0.999995, -5.08725 -9.84364 1"
2,-70.5937,Tx-R-D-T-T-Rx,6,"1 -6 1, -3.45833 -7.02984 0.0997569, -5.60404 -7.52548 0.533028, -5.58969 -7.58983 0.545991, -5.15074 -9.55884 0.94263, -5.08725 -9.84364 1"
2,-70.6097,Tx-R-D-R-Rx,5,"1 -6 1, -4.37749 -7.38776 0.0997569, -5.16351 -7.5906 0.231344, -5.14343 -6.3366 0.433797, -5.08725 -9.84364 1"
2,-70.7685,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -2.41091 -7.41959 1.00007, -2.44356 -7.406 1.00007, -3.15501 -5.72291 1.00005, -3.36864 -6.2283 1.00005, -3.41441 -6.3366 1.00004, -4.99205 -10.0689 1, -5.08725 -9.84364 1"
2,-71.3662,Tx-R-D-R-T-R-T-Rx,8,"1 -6 1, -3.03852 -7.41959 1.00016, -5.60376 -6.51788 1.00026, -5.40801 -6.3366 1.00025, -3.80808 -7.81826 1.00014, -3.35414 -8.23864 1.00011, -3.80811 -8.65905 1.00008, -5.08725 -9.84364 1"
2,-71.369,Tx-R-D-T-T-R-Rx,7,"1 -6 1, -4.17724 -7.19561 0.0997569, -5.60396 -7.52509 0.347842, -5.5179 -7.58998 0.366094, -5.15071 -7.86683 0.443968, -3.80811 -8.87916 0.728714, -5.08725 -9.84364 1"
2,-71.379,Tx-D-T-T-R-Rx,6,"1 -6 1, -2.54919 -7.40478 0.999998, -2.86882 -5.72291 0.999998, -2.8894 -5.61461 0.999998, -3.58649 -1.94646 0.999996, -5.08725 -9.84364 1"
2,-71.4631,Tx-D-R-T-T-Rx,6,"1 -6 1, -2.44416 -7.40549 1.0002, -3.21049 -5.72291 1.00014, -3.44067 -6.2283 1.00012, -3.48999 -6.3366 1.00012, -5.08725 -9.84364 1"
2,-71.5577,Tx-D-T-T-Rx,5,"1 -6 1, -3.33441 -7.41959 0.999999, -3.49162 -7.637 0.999999, -3.80804 -8.07459 0.999999, -5.08725 -9.84364 1"
2,-71.605,Tx-D-R-Rx,4,"1 -6 1, -5.15072 -7.60204 1.00018, -5.13389 -6.3366 1.00013, -5.08725 -9.84364 1"
