Rx_Number,Path_Power,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
3,-47.9651,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70683 0.28199 5.33237, -1.90155 0.78098 7.40635, -0.74116 1.50000 4.41777"
3,-49.2846,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30600 0.40166 5.01542, -5.65853 0.84692 7.19622, -5.33549 0.88982 7.40635, -0.74116 1.50000 4.41777"
3,-49.6864,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.70610 0.24568 5.33928, -1.90271 0.75853 7.40635, -0.74116 1.50000 4.41777"
3,-50.3207,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.96197 4.68620, -0.74116 1.50000 4.41777"
3,-50.4619,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30849 0.30597 4.97452, -5.65853 0.78981 7.17093, -5.29945 0.84167 7.40635, -0.74116 1.50000 4.41777"
3,-50.6455,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30860 0.28993 4.84655, -2.71154 0.28298 4.82451, -5.39468 0.72806 4.67575, -0.74116 1.50000 4.41777"
3,-50.661,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.77697 0.13548 5.40289, -2.72632 0.09976 5.52708, -1.95993 0.64033 7.40635, -0.74116 1.50000 4.41777"
3,-50.7026,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30948 0.25409 4.97429, -2.88152 0.13187 5.34367, -5.65853 0.62565 7.16674, -5.29354 0.69055 7.40635, -0.74116 1.50000 4.41777"
3,-50.8276,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.28096 0.37212 4.70062, -5.48989 0.41966 4.68870, -0.74116 1.50000 4.41777"
3,-50.9382,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.93748 0.28298 4.83103, -5.28096 0.37212 4.70058, -5.48989 0.41966 4.68866, -0.74116 1.50000 4.41777"
3,-51.2882,Tx-R-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30939 0.25867 4.97603, -3.15194 0.09976 5.52834, -5.65853 0.57253 7.17147, -5.30022 0.64011 7.40635, -0.74116 1.50000 4.41777"
3,-51.4614,Tx-D-R-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30262 0.38889 5.00993, -2.96495 0.28298 5.44103, -5.65853 0.71369 7.19426, -5.33268 0.76580 7.40635, -0.74116 1.50000 4.41777"
3,-52.3327,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30861 0.28984 4.84643, -2.70882 0.28271 4.82429, -5.34436 0.89332 4.67463, -0.74116 1.50000 4.41777"
3,-52.8355,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.28279 0.50639 4.84851, -1.32210 3.02001 4.58009, -0.74116 1.50000 4.41777"
